step,Square8,Square4,Square8_ByImmune,Square4_ByImmune
0,100,100,100,100
1,101,101,101,101
2,101,101,101,101
3,101,101,101,101
4,101,101,101,101
5,101,101,101,101
6,101,101,101,101
7,102,102,102,102
8,104,104,104,104
9,16,8,16,12
10,19,9,17,13
11,25,11,24,16
12,30,12,24,20
13,36,14,28,25
14,59,17,32,38
15,83,21,54,44
16,99,25,65,54
17,129,31,100,65
18,146,40,109,73
19,194,51,126,81
20,238,63,174,92
21,326,74,195,111
22,387,84,230,135
23,444,91,280,170
24,527,102,325,196
25,667,106,371,220
26,761,123,449,254
27,860,150,515,294
28,960,168,609,293
29,1044,197,706,319
30,1178,228,814,343
31,1310,249,856,361
32,1375,277,899,386
33,1462,309,908,369
34,1533,357,959,386
35,1706,370,911,397
36,1861,387,923,376
37,2000,432,983,349
38,2122,450,1045,385
39,2239,475,1035,376
40,2407,524,1056,392
41,2412,547,1142,427
42,2531,563,1248,400
43,2526,578,1253,417
44,2737,595,1338,438
45,2810,610,1407,443
46,2975,620,1427,450
47,3086,666,1374,468
48,3148,687,1331,502
49,3239,752,1386,521
50,3405,813,1450,501
51,3463,853,1465,518
52,3533,806,1461,470
53,3567,879,1529,488
54,3674,909,1568,531
55,3795,966,1623,537
56,3953,974,1727,546
57,3907,1077,1748,544
58,4076,1074,1794,544
59,4160,1148,1804,525
60,4284,1148,1789,502
61,4467,1105,1830,537
62,4760,1115,1856,530
63,4819,1188,1940,526
64,4990,1212,2026,538
65,5155,1273,2087,537
66,5324,1308,2097,515
67,5370,1413,2212,523
68,5494,1489,2399,548
69,5628,1516,2432,528
70,5756,1565,2448,552
71,5969,1537,2370,524
72,6011,1539,2359,564
73,6101,1581,2347,616
74,6142,1580,2276,587
75,6330,1618,2383,603
76,6419,1662,2519,634
77,6615,1724,2557,661
78,6696,1713,2615,689
79,6712,1759,2533,707
80,6626,1798,2632,755
81,6713,1834,2654,726
82,6924,1868,2719,724
83,6989,1870,2722,732
84,7168,1898,2809,755
85,7483,1880,2839,814
86,7604,1925,2908,844
87,7767,1977,2947,868
88,7778,2003,2987,920
89,7746,2088,3082,918
90,7825,2155,3143,864
91,7879,2228,3303,893
92,8132,2329,3286,924
93,8249,2328,3256,921
94,8378,2355,3244,949
95,8553,2375,3404,978
96,8676,2310,3561,1009
97,8960,2387,3552,1025
98,8985,2416,3569,1101
99,9112,2456,3744,1042
100,9126,2513,3772,1057
101,9329,2579,3867,1092
102,9471,2593,3942,1063
103,9507,2549,3959,1055
104,9789,2590,4122,1054
105,9909,2678,4177,1022
106,10232,2721,4099,987
107,10527,2719,4256,941
108,10507,2737,4083,963
109,10645,2822,4103,960
110,10584,2806,4051,997
111,10712,2812,4225,1018
112,10914,2907,4263,1041
113,11085,2885,4270,1012
114,11151,2938,4280,1032
115,11295,3018,4191,1031
116,11560,3118,4338,1007
117,11803,3186,4429,1004
118,12022,3061,4465,1002
119,12189,3192,4663,1059
120,12392,3257,4731,1064
121,12376,3297,4596,1018
122,12602,3316,4645,1032
123,13075,3248,4747,1041
124,13271,3155,4791,1038
125,13319,3313,4804,1042
126,13552,3332,4761,1080
127,13599,3357,4875,1053
128,13744,3398,4823,1099
129,13804,3470,4859,1161
130,13864,3545,4990,1211
131,14097,3536,5014,1236
132,14246,3415,5130,1270
133,14335,3500,5083,1298
134,14535,3497,5187,1263
135,14565,3368,5493,1317
136,14241,3410,5562,1336
137,14407,3541,5779,1362
138,14462,3492,5783,1366
139,14491,3651,5759,1337
140,14478,3744,5753,1324
141,14895,3676,5866,1304
142,14682,3683,6070,1266
143,14772,3685,6112,1250
144,15095,3801,6191,1289
145,15404,3862,6326,1279
146,15451,3931,6337,1272
147,15767,3960,6403,1281
148,15882,3943,6370,1308
149,15930,3928,6268,1291
150,16139,3947,6285,1241
151,16208,4036,6375,1295
152,15978,4097,6452,1324
153,16251,4135,6505,1360
154,16285,4100,6575,1403
155,16200,4091,6571,1340
156,16436,4039,6717,1350
157,16609,4096,6907,1317
158,17011,4179,7080,1356
159,16997,4314,7272,1421
160,17031,4352,7255,1484
161,17053,4258,7437,1490
162,17153,4420,7415,1464
163,17464,4421,7561,1456
164,17869,4406,7548,1509
165,17779,4363,7490,1516
166,17722,4587,7471,1542
167,18076,4634,7464,1566
168,18305,4680,7470,1588
169,18141,4802,7402,1602
170,18479,4917,7561,1584
171,18416,5025,7166,1612
172,18776,5174,7185,1673
173,18760,5025,7087,1755
174,19346,5156,7116,1758
175,19638,5190,7088,1766
176,19750,5141,7247,1813
177,19588,5185,7330,1781
178,20013,5058,7400,1833
179,20137,5108,7401,1880
180,20063,5212,7378,1860
181,20358,5151,7445,1858
182,20635,5137,7480,1903
183,20588,5253,7643,1976
184,20525,5262,7688,1985
185,20497,5298,7790,1994
186,20571,5417,7809,1886
187,20957,5380,7891,1912
188,21252,5442,8162,1979
189,21636,5568,8175,1930
190,21823,5534,8425,1971
191,22108,5633,8522,1920
192,21867,5671,8590,1954
193,22150,5669,8379,2052
194,21997,5725,8317,2142
195,22366,5982,8423,2178
196,22359,5943,8507,2107
197,22475,5979,8539,2063
198,22851,5939,8441,2001
199,22603,5893,8677,2074
200,22607,5821,8777,2033
